barrio,tipo_delito,timestamp,geometry,site,edge,lane
BARRACAS,Lesiones Seg Vial,2017-10-30 09:50:00,POINT (-58.3758 -34.6396),"HORNOS, GRAL. 1110",8.4,1
PARQUE PATRICIOS,Lesiones Seg Vial,2017-10-30 09:44:00,POINT (-58.3905 -34.6395),VELEZ SARSFIELD AV. 401,41.3,0
PARQUE PATRICIOS,Lesiones Seg Vial,2017-10-30 09:44:00,POINT (-58.3905 -34.6395),VELEZ SARSFIELD AV. 401,41.3,0
FLORES,Lesiones Seg Vial,2017-10-30 01:30:00,POINT (-58.4675 -34.6355),DIRECTORIO AV. 2901,1.9,0
VILLA LURO,Lesiones Seg Vial,2017-10-30 17:50:00,POINT (-58.4999 -34.6351),LOPE DE VEGA 303,4.2,0
VILLA LURO,Lesiones Seg Vial,2017-10-30 22:10:00,POINT (-58.5061 -34.6341),"JUSTO, JUAN B. AV. 8355",62.4,0
CABALLITO,Lesiones Seg Vial,2017-10-30 10:11:00,POINT (-58.4346 -34.6279),DIRECTORIO AV. 537,25.3,0
FLORES,Lesiones Seg Vial,2017-10-30 04:30:00,POINT (-58.4551 -34.6267),PUMACAHUA 33,65.6,0
FLORESTA,Lesiones Seg Vial,2017-10-30 12:30:00,POINT (-58.4942 -34.6245),SEGUROLA AV. 1229,3.0,0
BOEDO,Lesiones Seg Vial,2017-10-30 17:30:00,POINT (-58.4134 -34.6208),INDEPENDENCIA AV. 3362,38.4,1
ALMAGRO,Lesiones Seg Vial,2017-10-30 08:00:00,POINT (-58.4155 -34.6172),MAZA 490,4.5,0
PUERTO MADERO,Lesiones Seg Vial,2017-10-30 19:00:00,POINT (-58.3581 -34.6172),"ACHAVAL RODRIGUEZ, T., DR. AV. 1533",4.5,1
BALVANERA,Lesiones Seg Vial,2017-10-30 01:00:00,POINT (-58.4138 -34.6118),SANCHEZ DE LORIA 116,33.7,1
MONSERRAT,Lesiones Seg Vial,2017-10-30 16:30:00,POINT (-58.3863 -34.6088),SAN JOSE 9,1.7,1
SAN NICOLAS,Lesiones Seg Vial,2017-10-30 16:54:00,POINT (-58.368 -34.6052),"PERON, JUAN DOMINGO, TTE. GENERAL 20",6.7,1
BALVANERA,Lesiones Seg Vial,2017-10-30 12:00:00,POINT (-58.4055 -34.6045),PUEYRREDON AV. 510,6.2,1
VILLA DEVOTO,Lesiones Seg Vial,2017-10-30 09:00:00,POINT (-58.5226 -34.5989),MOSCONI GENERAL AV. 4524,3.6,0
VILLA DEVOTO,Lesiones Seg Vial,2017-10-30 13:45:00,POINT (-58.5208 -34.5951),"PAZ, GRAL. AV. 6876",2.3,0
RECOLETA,Lesiones Seg Vial,2017-10-30 12:45:00,POINT (-58.389 -34.5925),PARANA 1395,2.1,1
VILLA PUEYRREDON,Lesiones Seg Vial,2017-10-30 11:24:00,POINT (-58.5022 -34.5863),MOSCONI GENERAL AV. 2904,2.0,0
PALERMO,Lesiones Seg Vial,2017-10-30 07:30:00,POINT (-58.433 -34.5795),GUATEMALA 5701,4.3,0
VILLA PUEYRREDON,Lesiones Seg Vial,2017-10-30 17:15:00,POINT (-58.5021 -34.5744),DE LOS CONSTITUYENTES AV. 5668,31.0,0
PALERMO,Lesiones Seg Vial,2017-10-30 11:00:00,POINT (-58.4385 -34.5734),"DUMONT, SANTOS 2410",5.2,0
SAAVEDRA,Lesiones Seg Vial,2017-10-30 16:00:00,POINT (-58.4811 -34.5534),MELIAN AV. 3807,3.6,0
NUÑEZ,Lesiones Seg Vial,2017-10-30 17:30:00,POINT (-58.4618 -34.5521),IBERA 2140,2.8,0
NUÑEZ,Lesiones Seg Vial,2017-10-30 17:50:00,POINT (-58.4677 -34.5405),RAMALLO 1851,3.5,0
VILLA RIACHUELO,Homicidio Seg Vial,2017-10-30 14:00:00,POINT (-58.4655 -34.6937),"ROCA, CNEL. AV. 6399",4.5,0
BOCA,Lesiones Seg Vial,2017-10-29 16:20:00,POINT (-58.3677 -34.6397),HERNANDARIAS 1185,21.9,1
VELEZ SARSFIELD,Lesiones Seg Vial,2017-10-29 00:45:00,POINT (-58.4885 -34.6396),"CARRERAS, SANTIAGO DE LAS 294",3.3,0
CONSTITUCION,Lesiones Seg Vial,2017-10-29 14:24:00,POINT (-58.3898 -34.627),FILIBERTO 1798,33.2,0
VILLA SANTA RITA,Lesiones Seg Vial,2017-10-29 18:45:00,POINT (-58.4758 -34.6184),GALICIA 2893,4.4,0
VILLA REAL,Lesiones Seg Vial,2017-10-29 22:50:00,POINT (-58.53 -34.6177),"BEIRO, FRANCISCO AV. 5773",21.3,0
CABALLITO,Lesiones Seg Vial,2017-10-29 16:45:00,POINT (-58.4494 -34.6173),PAYSANDU 520,4.9,0
BALVANERA,Lesiones Seg Vial,2017-10-29 04:00:00,POINT (-58.4014 -34.6144),BELGRANO AV. 2507,3.5,1
CABALLITO,Lesiones Seg Vial,2017-10-29 13:40:00,POINT (-58.4393 -34.6108),ACOYTE AV. 695,0.3,1
BALVANERA,Lesiones Seg Vial,2017-10-29 01:15:00,POINT (-58.4095 -34.6056),"JAURES, JEAN 381",40.8,0
SAN NICOLAS,Lesiones Seg Vial,2017-10-29 12:45:00,POINT (-58.3795 -34.6036),SUIPACHA 396,2.6,1
ALMAGRO,Lesiones Seg Vial,2017-10-29 04:45:00,POINT (-58.4195 -34.6033),"SALGUERO, JERONIMO 613",2.2,1
SAN NICOLAS,Lesiones Seg Vial,2017-10-29 08:16:00,POINT (-58.3796 -34.5991),SUIPACHA 795,15.0,1
AGRONOMIA,Lesiones Seg Vial,2017-10-29 19:15:00,POINT (-58.493 -34.597),SAN MARTIN AV. 5285,10.6,0
VILLA DEVOTO,Lesiones Seg Vial,2017-10-29 18:45:00,POINT (-58.5088 -34.5903),MOSCONI GENERAL AV. 3390,4.4,0
RECOLETA,Lesiones Seg Vial,2017-10-29 12:30:00,POINT (-58.4095 -34.5895),BILLINGHURST 1833,3.2,0
PALERMO,Lesiones Seg Vial,2017-10-29 19:30:00,POINT (-58.4046 -34.5788),CASTEX 3290,16.7,0
PALERMO,Lesiones Seg Vial,2017-10-29 05:45:00,POINT (-58.4019 -34.5679),"SALGUERO, JERONIMO 3900",3.3,0
BELGRANO,Lesiones Seg Vial,2017-10-29 22:30:00,POINT (-58.4417 -34.5588),LA PAMPA 1250,7.5,0
SAAVEDRA,Lesiones Seg Vial,2017-10-29 09:10:00,POINT (-58.477 -34.5538),"LARRALDE, CRISOLOGO AV. 3407",3.9,0
PALERMO,Lesiones Seg Vial,2017-10-28 23:00:00,POINT (-58.433 -34.5779),"CARRANZA, ANGEL JUSTINIANO 2295",5.1,0
VILLA LUGANO,Lesiones Seg Vial,2017-10-28 17:00:00,POINT (-58.4823 -34.6837),GUAMINI 4503,103.7,0
VILLA LUGANO,Lesiones Seg Vial,2017-10-28 19:00:00,POINT (-58.4906 -34.6787),MONTIEL 4061,15.6,0
VILLA LUGANO,Lesiones Seg Vial,2017-10-28 21:00:00,POINT (-58.4715 -34.675),LARRAYA 4005,5.2,0
MATADEROS,Lesiones Seg Vial,2017-10-28 11:22:00,POINT (-58.5139 -34.6647),TAPALQUE 7485,2.3,0
MATADEROS,Lesiones Seg Vial,2017-10-28 11:22:00,POINT (-58.5139 -34.6647),TAPALQUE 7485,2.3,0
MATADEROS,Lesiones Seg Vial,2017-10-28 07:00:00,POINT (-58.5165 -34.6615),SALADILLO 2020,6.8,0
PARQUE AVELLANEDA,Lesiones Seg Vial,2017-10-28 19:00:00,POINT (-58.4779 -34.6543),SAN JUAN BAUTISTA DE LA SALLE AV. 2064,14.6,0
PARQUE AVELLANEDA,Lesiones Seg Vial,2017-10-28 01:15:00,POINT (-58.4826 -34.6514),OLIVERA AV. 1127,16.4,0
BARRACAS,Lesiones Seg Vial,2017-10-28 22:30:00,POINT (-58.3812 -34.6392),"CARRILLO, RAMON, DR. 501",85.0,0
BOCA,Lesiones Seg Vial,2017-10-28 23:00:00,POINT (-58.358 -34.6308),"BRIN, MINISTRO 790",5.4,0
CONSTITUCION,Lesiones Seg Vial,2017-10-28 10:30:00,POINT (-58.3909 -34.6293),BRASIL 1799,3.4,1
CABALLITO,Lesiones Seg Vial,2017-10-28 22:10:00,POINT (-58.4386 -34.6287),THOMPSON 798,1.8,0
CABALLITO,Lesiones Seg Vial,2017-10-28 15:40:00,POINT (-58.4405 -34.6199),COLPAYO 10,15.8,1
SAN TELMO,Lesiones Seg Vial,2017-10-28 16:46:00,POINT (-58.3663 -34.6192),"HUERGO, ING. AV. 950",4.4,0
VILLA SANTA RITA,Lesiones Seg Vial,2017-10-28 12:00:00,POINT (-58.4761 -34.6181),NAZCA AV. 1330,0.3,0
BALVANERA,Lesiones Seg Vial,2017-10-28 10:45:00,POINT (-58.3981 -34.6149),REPUBLICA BOLIVARIANA DE VENEZUELA 2212,22.2,0
ALMAGRO,Lesiones Seg Vial,2017-10-28 17:45:00,POINT (-58.4246 -34.6148),"YRIGOYEN, HIPOLITO AV. 4103",3.7,1
BALVANERA,Lesiones Seg Vial,2017-10-28 20:45:00,POINT (-58.4102 -34.6115),"URQUIZA, GRAL. 72",7.0,0
BALVANERA,Lesiones Seg Vial,2017-10-28 10:00:00,POINT (-58.3919 -34.6092),RIVADAVIA AV. 1791,4.7,0
BALVANERA,Lesiones Seg Vial,2017-10-28 12:30:00,POINT (-58.4061 -34.6064),PUEYRREDON AV. 302,13.1,0
BALVANERA,Lesiones Seg Vial,2017-10-28 22:00:00,POINT (-58.4078 -34.6043),ECUADOR 481,4.3,1
PALERMO,Lesiones Seg Vial,2017-10-28 09:50:00,POINT (-58.4202 -34.5978),CORDOBA AV. 3806,4.4,0
RECOLETA,Lesiones Seg Vial,2017-10-28 07:45:00,POINT (-58.3973 -34.5832),AGUERO 2480,7.7,1
VILLA PUEYRREDON,Lesiones Seg Vial,2017-10-28 09:00:00,POINT (-58.4951 -34.5805),"LOPEZ, CARLOS ANTONIO 2203",3.2,0
VILLA URQUIZA,Lesiones Seg Vial,2017-10-28 21:55:00,POINT (-58.4914 -34.5704),TRIUNVIRATO AV. 5316,1.9,0
VILLA PUEYRREDON,Lesiones Seg Vial,2017-10-28 14:35:00,POINT (-58.5091 -34.57),"PAZ, GRAL. AV. 4998",5.0,0
BELGRANO,Lesiones Seg Vial,2017-10-28 16:15:00,POINT (-58.4666 -34.5678),SUPERI 2135,9.4,1
VILLA LUGANO,Lesiones Seg Vial,2017-10-27 19:00:00,POINT (-58.4881 -34.685),"PAZ, GRAL. AV. 15480",23.9,0
VILLA LUGANO,Lesiones Seg Vial,2017-10-27 14:45:00,POINT (-58.4809 -34.6819),"DELLEPIANE, LUIS, TTE. GRAL. 6370",134.1,0
NUEVA POMPEYA,Lesiones Seg Vial,2017-10-27 18:40:00,POINT (-58.4036 -34.6533),RIO CUARTO 3999,3.2,0
PARQUE AVELLANEDA,Lesiones Seg Vial,2017-10-27 22:00:00,POINT (-58.4679 -34.6472),"PERON, EVA AV. 3798",4.6,0
FLORES,Lesiones Seg Vial,2017-10-27 13:00:00,POINT (-58.4415 -34.6436),COBO AV. 1899,2.6,0
FLORES,Lesiones Seg Vial,2017-10-27 11:30:00,POINT (-58.4662 -34.6351),LAFUENTE 396,3.6,0
FLORES,Lesiones Seg Vial,2017-10-27 20:30:00,POINT (-58.4696 -34.6312),SAN PEDRITO AV. 33,52.7,0
PARQUE PATRICIOS,Lesiones Seg Vial,2017-10-27 09:00:00,POINT (-58.4021 -34.631),CATAMARCA 1788,26.2,0
VELEZ SARSFIELD,Lesiones Seg Vial,2017-10-27 20:30:00,POINT (-58.5032 -34.6306),LOPE DE VEGA AV. 901,3.2,0
SAN CRISTOBAL,Lesiones Seg Vial,2017-10-27 09:00:00,POINT (-58.4001 -34.6273),ALBERTI 1487,1.9,1
VILLA REAL,Lesiones Seg Vial,2017-10-27 16:35:00,POINT (-58.5299 -34.6257),NAZARRE 6292,1.7,0
SAN CRISTOBAL,Lesiones Seg Vial,2017-10-27 10:30:00,POINT (-58.4061 -34.6241),SAN JUAN AV. 2915,23.5,0
MONSERRAT,Lesiones Seg Vial,2017-10-27 16:35:00,POINT (-58.3813 -34.6143),LIMA 502,6.2,0
BALVANERA,Lesiones Seg Vial,2017-10-27 00:00:00,POINT (-58.3932 -34.6139),BELGRANO AV. 1895,3.7,1
MONSERRAT,Lesiones Seg Vial,2017-10-27 08:00:00,POINT (-58.3678 -34.6135),AZOPARDO 502,5.2,1
BALVANERA,Lesiones Seg Vial,2017-10-27 07:15:00,POINT (-58.3919 -34.6092),RIVADAVIA AV. 1791,4.7,0
BALVANERA,Lesiones Seg Vial,2017-10-27 23:30:00,POINT (-58.4001 -34.6049),CORRIENTES AV. 2344,57.3,1
VILLA DEL PARQUE,Lesiones Seg Vial,2017-10-27 21:00:00,POINT (-58.4972 -34.6047),MELINCUE 3479,5.5,0
BALVANERA,Lesiones Seg Vial,2017-10-27 13:30:00,POINT (-58.4048 -34.6018),PUEYRREDON AV. 706,4.2,1
PATERNAL,Lesiones Seg Vial,2017-10-27 02:20:00,POINT (-58.4703 -34.6016),12 DE OCTUBRE 1809,6.4,0
RETIRO,Lesiones Seg Vial,2017-10-27 15:53:00,POINT (-58.3815 -34.5953),SANTA FE AV. 1002,6.7,0
VILLA CRESPO,Lesiones Seg Vial,2017-10-27 04:15:00,POINT (-58.4428 -34.5936),"JUSTO, JUAN B. AV. 2419",10.1,0
RECOLETA,Lesiones Seg Vial,2017-10-27 11:20:00,POINT (-58.3871 -34.5875),POSADAS 1507,3.5,0
PALERMO,Lesiones Seg Vial,2017-10-27 23:45:00,POINT (-58.4134 -34.5835),"SCALABRINI ORTIZ, RAUL 2799",2.0,0
VILLA PUEYRREDON,Lesiones Seg Vial,2017-10-27 11:05:00,POINT (-58.4932 -34.5812),DE LOS CONSTITUYENTES AV. 4664,41.0,0
COLEGIALES,Lesiones Seg Vial,2017-10-27 14:00:00,POINT (-58.4414 -34.5783),"ARENAL, CONCEPCION 2841",5.2,0
PALERMO,Lesiones Seg Vial,2017-10-27 18:00:00,POINT (-58.4344 -34.5649),DEL LIBERTADOR AV. 4800,1.6,1
VILLA URQUIZA,Lesiones Seg Vial,2017-10-27 17:45:00,POINT (-58.4845 -34.5641),IBERA 4508,5.6,0
BELGRANO,Lesiones Seg Vial,2017-10-27 06:15:00,POINT (-58.4605 -34.5575),CABILDO AV. 2583,4.0,0
SAAVEDRA,Lesiones Seg Vial,2017-10-27 13:30:00,POINT (-58.4997 -34.5508),"BALBIN, RICARDO, DR. AV. 5041",7.4,0
SAAVEDRA,Lesiones Seg Vial,2017-10-27 13:30:00,POINT (-58.4997 -34.5508),"BALBIN, RICARDO, DR. AV. 5041",7.4,0
SAAVEDRA,Lesiones Seg Vial,2017-10-27 08:49:00,POINT (-58.4731 -34.5494),GARCIA DEL RIO AV. 2822,5.9,1
NUÑEZ,Lesiones Seg Vial,2017-10-27 02:30:00,POINT (-58.466 -34.5346),DEL LIBERTADOR AV. 8601,8.7,1
PATERNAL,Homicidio Seg Vial,2017-10-27 05:30:00,POINT (-58.4788 -34.5997),SAN MARTIN AV. 4002,4.2,0
PARQUE AVELLANEDA,Lesiones Seg Vial,2017-10-26 12:15:00,POINT (-58.4743 -34.6614),ESCALADA AV. 2506,1.2,0
MATADEROS,Lesiones Seg Vial,2017-10-26 16:30:00,POINT (-58.4823 -34.6601),"PERON, EVA AV. 5295",4.6,0
NUEVA POMPEYA,Lesiones Seg Vial,2017-10-26 12:15:00,POINT (-58.4033 -34.6539),IGUAZU 1463,57.0,0
PARQUE AVELLANEDA,Lesiones Seg Vial,2017-10-26 11:15:00,POINT (-58.4721 -34.6515),ZINNY 1596,22.0,0
LINIERS,Lesiones Seg Vial,2017-10-26 10:00:00,POINT (-58.5207 -34.6488),CAAGUAZU 6905,3.7,0
FLORES,Lesiones Seg Vial,2017-10-26 05:45:00,POINT (-58.4595 -34.6455),ZUVIRIA 2987,8.0,0
BOEDO,Lesiones Seg Vial,2017-10-26 22:00:00,POINT (-58.4166 -34.6315),COLOMBRES 1507,4.5,0
FLORES,Lesiones Seg Vial,2017-10-26 06:30:00,POINT (-58.4697 -34.6307),RIVADAVIA AV. 7409,5.1,0
PARQUE PATRICIOS,Lesiones Seg Vial,2017-10-26 09:00:00,POINT (-58.4099 -34.6299),"GARAY, JUAN DE AV. 3201",2.7,0
CABALLITO,Lesiones Seg Vial,2017-10-26 22:45:00,POINT (-58.454 -34.6256),RIVADAVIA AV. 6191,4.0,0
CABALLITO,Lesiones Seg Vial,2017-10-26 09:00:00,POINT (-58.453 -34.6252),MORELOS 9,2.9,0
CABALLITO,Lesiones Seg Vial,2017-10-26 10:30:00,POINT (-58.453 -34.6252),MORELOS 9,2.9,0
SAN CRISTOBAL,Lesiones Seg Vial,2017-10-26 23:15:00,POINT (-58.3978 -34.6232),SAN JUAN AV. 2293,3.4,0
SAN TELMO,Lesiones Seg Vial,2017-10-26 17:45:00,POINT (-58.3741 -34.6219),SAN JUAN AV. 551,6.7,0
SAN CRISTOBAL,Lesiones Seg Vial,2017-10-26 07:20:00,POINT (-58.4092 -34.6213),LA RIOJA 951,4.1,0
CONSTITUCION,Lesiones Seg Vial,2017-10-26 08:41:00,POINT (-58.3903 -34.6181),INDEPENDENCIA AV. 1694,2.8,1
VILLA REAL,Lesiones Seg Vial,2017-10-26 11:00:00,POINT (-58.53 -34.6177),"BEIRO, FRANCISCO AV. 5773",21.3,0
CABALLITO,Lesiones Seg Vial,2017-10-26 20:40:00,POINT (-58.4502 -34.6158),NEUQUEN 1159,6.8,0
MONSERRAT,Lesiones Seg Vial,2017-10-26 11:00:00,POINT (-58.3695 -34.6123),BELGRANO AV. 201,6.2,0
PUERTO MADERO,Lesiones Seg Vial,2017-10-26 08:10:00,POINT (-58.3586 -34.6116),"ACHAVAL RODRIGUEZ, T., DR. AV. 1101",0.4,0
BALVANERA,Lesiones Seg Vial,2017-10-26 13:15:00,POINT (-58.41 -34.6115),"YRIGOYEN, HIPOLITO 3099",22.4,0
CABALLITO,Lesiones Seg Vial,2017-10-26 18:15:00,POINT (-58.4586 -34.6108),"VIALE, LUIS 1484",2.5,0
BALVANERA,Lesiones Seg Vial,2017-10-26 05:20:00,POINT (-58.3948 -34.6105),"YRIGOYEN, HIPOLITO 2005",2.2,0
VILLA DEVOTO,Lesiones Seg Vial,2017-10-26 20:30:00,POINT (-58.5159 -34.6099),"VARELA, JOSE PEDRO 4698",3.6,0
SAN NICOLAS,Lesiones Seg Vial,2017-10-26 12:30:00,POINT (-58.375 -34.6072),"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV. 567",0.6,0
SAN NICOLAS,Lesiones Seg Vial,2017-10-26 12:35:00,POINT (-58.3816 -34.6037),CERRITO 401,42.1,1
ALMAGRO,Lesiones Seg Vial,2017-10-26 16:45:00,POINT (-58.4208 -34.6023),MEDRANO AV. 669,43.4,0
SAN NICOLAS,Lesiones Seg Vial,2017-10-26 10:00:00,POINT (-58.3811 -34.6017),"PELLEGRINI, CARLOS 559",38.3,0
RECOLETA,Lesiones Seg Vial,2017-10-26 19:30:00,POINT (-58.399 -34.5983),CORDOBA AV. 2135,3.7,1
RECOLETA,Lesiones Seg Vial,2017-10-26 15:30:00,POINT (-58.3894 -34.5971),"ALVEAR, MARCELO T. DE 1577",36.4,1
RECOLETA,Lesiones Seg Vial,2017-10-26 15:30:00,POINT (-58.3942 -34.5961),SANTA FE AV. 1854,46.7,0
AGRONOMIA,Lesiones Seg Vial,2017-10-26 21:55:00,POINT (-58.495 -34.5943),NAZCA 3580,4.4,0
RETIRO,Lesiones Seg Vial,2017-10-26 08:45:00,POINT (-58.3822 -34.5928),ARROYO 1050,3.8,0
RECOLETA,Lesiones Seg Vial,2017-10-26 15:30:00,POINT (-58.3922 -34.5911),LAS HERAS GENERAL AV. 1855,59.7,0
BELGRANO,Lesiones Seg Vial,2017-10-26 22:45:00,POINT (-58.4524 -34.5661),CABILDO AV. 1600,9.0,0
SAAVEDRA,Lesiones Seg Vial,2017-10-26 21:30:00,POINT (-58.4968 -34.563),TRIUNVIRATO AV. 5920,63.1,1
NUÑEZ,Lesiones Seg Vial,2017-10-26 11:15:00,POINT (-58.45 -34.5435),"UDAONDO, GUILLERMO AV. 1056",114.7,0
PARQUE AVELLANEDA,Homicidio Seg Vial,2017-10-26 19:15:00,POINT (-58.4653 -34.6493),MARTINEZ CASTRO 1595,539.3,0
VILLA RIACHUELO,Lesiones Seg Vial,2017-10-25 20:30:00,POINT (-58.4738 -34.6862),CAÑADA DE GOMEZ 4902,1.6,0
VILLA LUGANO,Lesiones Seg Vial,2017-10-25 17:45:00,POINT (-58.483 -34.6823),PIEDRA BUENA AV. 4311,34.8,0
VELEZ SARSFIELD,Lesiones Seg Vial,2017-10-25 21:30:00,POINT (-58.4417 -34.6667),"ACOSTA, MARIANO 3495",54.9,0
FLORES,Lesiones Seg Vial,2017-10-25 11:00:00,POINT (-58.4575 -34.6506),BALBASTRO 3209,10.2,0
BARRACAS,Lesiones Seg Vial,2017-10-25 08:00:00,POINT (-58.3877 -34.6467),AUSTRALIA AV. 2893,4.0,0
PARQUE AVELLANEDA,Lesiones Seg Vial,2017-10-25 15:15:00,POINT (-58.4846 -34.6453),DIRECTORIO AV. 4311,2.8,0
BARRACAS,Lesiones Seg Vial,2017-10-25 14:45:00,POINT (-58.3754 -34.6431),ROCHA 1800,3.4,1
